"id","ident","type","name","continent","iso_country","iso_region","municipality","iata_code"
"27114","YPMP","small_airport","Pormpuraaw Airport","OC","AU","AU-QLD","Pormpuraaw","EDR"
"27115","YPMQ","medium_airport","Port Macquarie Airport","OC","AU","AU-NSW","Port Macquarie","PQQ"
"27116","YPOD","medium_airport","Portland Airport","OC","AU","AU-VIC","-","PTJ"
"27117","YPPD","medium_airport","Port Hedland International Airport","OC","AU","AU-WA","Port Hedland","PHE"
"27119","YPPH","large_airport","Perth International Airport","OC","AU","AU-WA","Perth","PER"
"27121","YPWR","small_airport","Woomera Airfield","OC","AU","AU-SA","Woomera","UMR"
"27122","YPXM","medium_airport","Christmas Island Airport","AS","CX","CX-U-A","Flying Fish Cove","XCH"
"27124","YQLP","medium_airport","Quilpie Airport","OC","AU","AU-QLD","-","ULP"
"27126","YRMD","small_airport","Richmond Airport","OC","AU","AU-QLD","-","RCM"
"27127","YRNG","small_airport","Ramingining Airport","OC","AU","AU-NT","-","RAM"
"27128","YROM","medium_airport","Roma Airport","OC","AU","AU-QLD","Roma","RMA"
"27131","YSCB","medium_airport","Canberra International Airport","OC","AU","AU-ACT","Canberra","CBR"
"27135","YSDU","medium_airport","Dubbo City Regional Airport","OC","AU","AU-NSW","Dubbo","DBO"
"27136","YSGE","small_airport","St George Airport","OC","AU","AU-QLD","-","SGO"
"27137","YSHK","medium_airport","Shark Bay Airport","OC","AU","AU-WA","Denham","MJK"
"27177","YSHL","medium_airport","Shellharbour Airport","OC","AU","AU-NSW","Albion Park Rail","WOL"
"32252","YSII","small_airport","Saibai Island Airport","OC","AU","AU-QLD","Saibai Island","SBR"
"27140","YSNB","medium_airport","Snake Bay Airport","OC","AU","AU-NT","Milikapiti","SNB"
"27141","YSNF","medium_airport","Norfolk Island International Airport","OC","NF","NF-U-A","Burnt Pine","NLK"
"27964","YSRN","small_airport","Strahan Airport","OC","AU","AU-TAS","-","SRN"
"27145","YSSY","large_airport","Sydney Kingsford Smith International Airport","OC","AU","AU-NSW","Sydney","SYD"
"27147","YSTW","medium_airport","Tamworth Airport","OC","AU","AU-NSW","Tamworth","TMW"
"27148","YSWG","medium_airport","Wagga Wagga City Airport","OC","AU","AU-NSW","Wagga Wagga","WGA"
"27154","YTGM","medium_airport","Thargomindah Airport","OC","AU","AU-QLD","Thargomindah","XTG"
"27158","YTNG","medium_airport","Thangool Airport","OC","AU","AU-QLD","Biloela","THG"
"27159","YTNK","medium_airport","Tennant Creek Airport","OC","AU","AU-NT","Tennant Creek","TCA"
"27161","YTRE","medium_airport","Taree Airport","OC","AU","AU-NSW","Taree","TRO"
"28023","YVRD","small_airport","Victoria River Downs Airport","OC","AU","AU-NT","-","VCD"
"28035","YWBS","small_airport","Warraber Island Airport","OC","AU","AU-QLD","Sue Islet","SYU"
"27168","YWDH","medium_airport","Windorah Airport","OC","AU","AU-QLD","-","WNR"
"27170","YWHA","medium_airport","Whyalla Airport","OC","AU","AU-SA","Whyalla","WYA"
"27175","YWLM","medium_airport","Newcastle Airport","OC","AU","AU-NSW","Williamtown","NTL"
"27176","YWLU","medium_airport","Wiluna Airport","OC","AU","AU-WA","-","WUN"
"27180","YWTN","medium_airport","Winton Airport","OC","AU","AU-QLD","-","WIN"
"27184","YWYY","medium_airport","Wynyard Airport","OC","AU","AU-TAS","Burnie","BWT"
"325171","YYA","medium_airport","Yueyang Sanhe Airport","AS","CN","CN-43","Yueyang","YYA"
"32111","YYKI","small_airport","Yorke Island Airport","OC","AU","AU-QLD","Yorke Island","OKR"
"32708","YYMI","small_airport","Yam Island Airport","OC","AU","AU-QLD","Yam Island","XMY"
"26345","Z13","small_airport","Akiachak Airport","NA","US","US-AK","Akiachak","KKI"
"26365","Z91","small_airport","Birch Creek Airport","NA","US","US-AK","Birch Creek","KBC"
"27188","ZBAA","large_airport","Beijing Capital International Airport","AS","CN","CN-11","Beijing","PEK"
"330820","ZBAD","large_airport","Beijing Daxing International Airport","AS","CN","CN-11","Beijing","PKX"
"327347","ZBCD","medium_airport","Chengde Puning Airport","AS","CN","CN-13","Chengde","CDE"
"30829","ZBCF","medium_airport","Chifeng Yulong Airport","AS","CN","CN-15","Chifeng","CIF"
"30830","ZBCZ","small_airport","Changzhi Wangcun Airport","AS","CN","CN-14","Changzhi","CIH"
"318174","ZBDH","medium_airport","Qinhuangdao Beidaihe Airport","AS","CN","CN-13","Qinhuangdao","BPE"
"300513","ZBDS","medium_airport","Ordos Ejin Horo Airport","AS","CN","CN-15","Ordos","DSN"
"30876","ZBDT","small_airport","Datong Yungang Airport","AS","CN","CN-14","Datong","DAT"
"300671","ZBER","medium_airport","Erenhot Saiwusu International Airport","AS","CN","CN-15","Erenhot","ERL"
"315854","ZBES","medium_airport","Arxan Yi'ershi Airport","AS","CN","CN-15","Arxan","YIE"
"300860","ZBHD","medium_airport","Handan Airport","AS","CN","CN-13","Handan","HDG"
"27189","ZBHH","large_airport","Hohhot Baita International Airport","AS","CN","CN-15","Hohhot","HET"
"327443","ZBHZ","medium_airport","Holingol Huolinhe Airport","AS","CN","CN-15","Holingol","HUO"
"27190","ZBLA","medium_airport","Hulunbuir Hailar Airport","AS","CN","CN-15","Hailar","HLD"
